community_id,mean_sentiment,std_sentiment,post_count,median_sentiment
51,0.29678172588832485,0.4699914715586043,197,0.34
15,0.2883096,0.507988278284882,125,0.4404
75,0.26228,0.4651990149730703,95,0.25
8,0.18618117647058824,0.4457915737881372,85,0.1655
1,0.10988076923076923,0.3595028370110652,52,0.0
35,0.37264545454545456,0.4441376983063002,33,0.34
62,0.2868555555555556,0.48714475348675695,18,0.43195
50,0.3327941176470588,0.5598452927713471,17,0.4404
197,0.0,0.0,15,0.0
42,0.23466666666666666,0.3313143924834336,6,0.32955
